depth,row,col,tx,ty,tz,state,final_ok
0.4,0,6,0.404,-0.0875,0.243,reachable,1
0.4,0,7,0.404,-0.1458,0.243,reachable,1
0.4,0,8,0.404,-0.2041,0.243,reachable,1
0.4,0,9,0.404,-0.2624,0.243,reachable,1
0.4,1,0,0.404,0.2715,0.2125,outside workspace box,0
0.4,1,1,0.404,0.2112,0.2125,outside workspace box,0
0.4,1,2,0.404,0.1508,0.2125,model / self-contact,0
0.4,1,3,0.404,0.0905,0.2125,hits pocket,0
0.4,1,4,0.404,0.0302,0.2125,hits pocket,0
0.4,1,5,0.404,-0.0302,0.2125,hits pocket,0
0.4,1,6,0.404,-0.0905,0.2125,reachable,1
0.4,1,7,0.404,-0.1508,0.2125,reachable,1
0.4,1,8,0.404,-0.2112,0.2125,reachable,1
0.4,1,9,0.404,-0.2715,0.2125,reachable,1
0.4,2,0,0.404,0.2812,0.1797,outside workspace box,0
0.4,2,1,0.404,0.2187,0.1797,outside workspace box,0
0.4,2,2,0.404,0.1562,0.1797,hits pocket,0
0.4,2,3,0.404,0.0937,0.1797,hits pocket,0
0.4,2,4,0.404,0.0312,0.1797,hits pocket,0
0.4,2,5,0.404,-0.0312,0.1797,hits pocket,0
0.4,2,6,0.404,-0.0937,0.1797,reachable,1
0.4,2,7,0.404,-0.1562,0.1797,reachable,1
0.4,2,8,0.404,-0.2187,0.1797,reachable,1
0.4,2,9,0.404,-0.2812,0.1797,reachable,1
0.4,3,0,0.404,0.2917,0.1446,outside workspace box,0
0.4,3,1,0.404,0.2269,0.1446,outside workspace box,0
0.4,3,2,0.404,0.162,0.1446,hits pocket,0
0.4,3,3,0.404,0.0972,0.1446,hits pocket,0
0.4,3,4,0.404,0.0324,0.1446,hits pocket,0
0.4,3,5,0.404,-0.0324,0.1446,hits pocket,0
0.4,3,6,0.404,-0.0972,0.1446,reachable,1
0.4,3,7,0.404,-0.162,0.1446,reachable,1
0.4,3,8,0.404,-0.2269,0.1446,reachable,1
0.4,3,9,0.404,-0.2917,0.1446,reachable,1
0.4,4,0,0.404,0.3029,0.1067,outside workspace box,0
0.4,4,1,0.404,0.2356,0.1067,outside workspace box,0
0.4,4,2,0.404,0.1683,0.1067,model / self-contact,0
0.4,4,3,0.404,0.101,0.1067,hits pocket,0
0.4,4,4,0.404,0.0337,0.1067,hits pocket,0
0.4,4,5,0.404,-0.0337,0.1067,hits pocket,0
0.4,4,6,0.404,-0.101,0.1067,reachable,1
0.4,4,7,0.404,-0.1683,0.1067,reachable,1
0.4,4,8,0.404,-0.2356,0.1067,reachable,1
0.4,4,9,0.404,-0.3029,0.1067,reachable,1
0.4,5,0,0.404,0.3151,0.0657,outside workspace box,0
0.4,5,1,0.404,0.2451,0.0657,outside workspace box,0
0.4,5,2,0.404,0.1751,0.0657,model / self-contact,0
0.4,5,3,0.404,0.105,0.0657,hits pocket,0
0.4,5,4,0.404,0.035,0.0657,hits pocket,0
0.4,5,5,0.404,-0.035,0.0657,hits pocket,0
0.4,5,6,0.404,-0.105,0.0657,model / self-contact,0
0.4,5,7,0.404,-0.1751,0.0657,reachable,1
0.4,5,8,0.404,-0.2451,0.0657,reachable,1
0.4,5,9,0.404,-0.3151,0.0657,reachable,1
0.4,6,0,0.404,0.3283,0.0214,outside workspace box,0
0.4,6,1,0.404,0.2553,0.0214,outside workspace box,0
0.4,6,2,0.404,0.1824,0.0214,model / self-contact,0
