idx,depth,u,v,tx,ty,tz,state,final_ok
236,0.5044,158.3,278.1,0.5084,0.257,-0.1151,outside workspace box,0
237,0.4986,541.4,49.2,0.5025,-0.271,0.2217,reachable,1
238,0.4906,300.7,117.3,0.4945,0.0248,0.1402,reachable,1
239,0.1429,540.9,116.1,0.1468,-0.0457,0.1906,model / self-contact,0
240,0.2239,634.7,330.9,0.2279,-0.1845,0.0545,reachable,1
241,0.5975,521.2,32.3,0.6015,-0.2991,0.2501,IK fails,0
242,0.2274,495.8,70.9,0.2314,-0.0787,0.1988,reachable,1
243,0.4917,381.2,128.1,0.4957,-0.0796,0.1262,reachable,1
244,0.4161,379.1,74.5,0.42,-0.0597,0.1938,reachable,1
245,0.1467,9.0,40.2,0.1507,0.0631,0.2053,hits pocket,0
246,0.6079,226.4,4.3,0.6119,0.1383,0.2888,IK fails,0
247,0.2754,153.3,97.4,0.2793,0.1009,0.1832,hits pocket,0
248,0.3087,602.1,126.7,0.3126,-0.2053,0.1597,reachable,1
249,0.2689,191.0,351.4,0.2729,0.1014,-0.0103,hits pocket,0
250,0.48,53.5,236.9,0.4839,0.3801,-0.0273,outside workspace box,0
