depth,row,col,tx,ty,tz,state,final_ok
0.7,3,0,0.7797,0.63,0.0802,outside workspace box,0
0.7,3,1,0.7797,0.49,0.0802,outside workspace box,0
0.7,3,2,0.7797,0.35,0.0802,outside workspace box,0
0.7,3,3,0.7797,0.21,0.0802,outside workspace box,0
0.7,3,4,0.7797,0.07,0.0802,outside workspace box,0
0.7,3,5,0.7797,-0.07,0.0802,outside workspace box,0
0.7,3,6,0.7797,-0.21,0.0802,outside workspace box,0
0.7,3,7,0.7797,-0.35,0.0802,outside workspace box,0
0.7,3,8,0.7797,-0.49,0.0802,outside workspace box,0
0.7,3,9,0.7797,-0.63,0.0802,outside workspace box,0
0.7,4,0,0.7537,0.63,0.0059,outside workspace box,0
0.7,4,1,0.7537,0.49,0.0059,outside workspace box,0
0.7,4,2,0.7537,0.35,0.0059,outside workspace box,0
0.7,4,3,0.7537,0.21,0.0059,outside workspace box,0
0.7,4,4,0.7537,0.07,0.0059,outside workspace box,0
0.7,4,5,0.7537,-0.07,0.0059,outside workspace box,0
0.7,4,6,0.7537,-0.21,0.0059,outside workspace box,0
0.7,4,7,0.7537,-0.35,0.0059,outside workspace box,0
0.7,4,8,0.7537,-0.49,0.0059,outside workspace box,0
0.7,4,9,0.7537,-0.63,0.0059,outside workspace box,0
0.7,5,0,0.7277,0.63,-0.0684,outside workspace box,0
0.7,5,1,0.7277,0.49,-0.0684,outside workspace box,0
