depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.3,8,3,0.2866,0.0762,0.0218,9e-05,0.2825,0.0537,-0.0031,0.0338,0.13894,1,0.0,1,330,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link;right_wrist_roll_link|torso_link
0.3,8,4,0.2974,0.0267,0.0125,8e-05,0.2925,0.0144,-0.002,0.0196,0.08168,1,5e-05,1,194,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link;right_wrist_roll_link|torso_link
0.3,8,5,0.2974,-0.0267,0.0125,7e-05,0.295,-0.0311,0.0073,0.0072,0.03799,1,0.0,1,66,right_shoulder_yaw_link|torso_link
0.3,8,6,0.2866,-0.0762,0.0218,7e-05,0.2866,-0.0761,0.0218,0.0001,0.0,1,0.0,0,0,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,8,7,0.2685,-0.1158,0.0374,8e-05,0.2685,-0.1158,0.0374,0.0,0.0,0,0.0,0,0,
0.3,8,8,0.2475,-0.1441,0.0555,3e-05,0.2476,-0.1441,0.0555,0.0001,0.0,0,0.0,0,0,
0.3,8,9,0.2271,-0.1627,0.0731,5e-05,0.2272,-0.1627,0.0731,0.0001,0.0,0,0.0,0,0,
0.3,9,0,0.2314,0.1755,0.0424,4e-05,0.2417,0.1399,0.0052,0.0525,0.24113,1,0.0013,1,688,left_hand_base_link|right_hand_Link1_2;left_hand_base_link|right_hand_Link1_3;left_wrist_pitch_link|right_hand_Link2_2;left_wrist_pitch_link|right_hand_Link2_3;left_wrist_pitch_link|right_hand_base_link;left_wrist_yaw_link|right_hand_Link1_2;left_wrist_yaw_link|right_hand_Link1_3;right_elbow_link|torso_link
0.3,9,1,0.2523,0.1553,0.0207,5e-05,0.2626,0.1085,-0.0222,0.0643,0.2392,1,0.0,1,482,right_elbow_link|torso_link
0.3,9,2,0.2735,0.1246,-0.0014,5e-05,0.2778,0.0887,-0.0258,0.0436,0.20516,1,0.0,1,376,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,9,3,0.2916,0.0817,-0.0202,4e-05,0.2937,0.0449,-0.0206,0.0369,0.16349,1,4e-05,1,248,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,9,4,0.3023,0.0286,-0.0314,9e-05,0.3027,0.0086,-0.0198,0.0231,0.1311,1,2e-05,1,108,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,9,5,0.3023,-0.0286,-0.0314,8e-05,0.3024,-0.0375,-0.0208,0.0138,0.07661,1,1e-05,0,0,right_shoulder_yaw_link|torso_link
0.3,9,6,0.2916,-0.0817,-0.0202,7e-05,0.2913,-0.0824,-0.0209,0.0011,0.0053,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.3,9,7,0.2735,-0.1246,-0.0014,8e-05,0.2736,-0.1246,-0.0014,0.0001,0.0,0,0.0,0,0,
0.3,9,8,0.2523,-0.1553,0.0207,9e-05,0.2524,-0.1553,0.0206,0.0001,0.0,0,0.0,0,0,
0.3,9,9,0.2314,-0.1755,0.0424,4e-05,0.2315,-0.1755,0.0424,0.0001,0.0,0,0.0,0,0,
0.35,0,0,0.2111,0.1062,0.2174,6e-05,0.2087,0.1072,0.2051,0.0125,0.09823,1,0.0,1,182,right_elbow_link|torso_link
0.35,0,1,0.2185,0.0873,0.2184,6e-05,0.2161,0.0889,0.2086,0.0102,0.08167,1,0.0,1,156,right_elbow_link|torso_link
0.35,0,2,0.2251,0.0653,0.2193,7e-05,0.2349,0.0536,0.2118,0.017,0.05217,1,1e-05,1,118,right_elbow_link|torso_link
0.35,0,3,0.2302,0.0406,0.2199,8e-05,0.2304,0.0403,0.2175,0.0024,0.02188,1,5e-05,1,104,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.35,0,4,0.233,0.0138,0.2203,0.0001,0.233,0.0139,0.2201,0.0003,0.00227,1,6e-05,1,70,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.35,0,5,0.233,-0.0138,0.2203,4e-05,0.233,-0.0138,0.2203,0.0001,0.0,1,0.0,1,26,right_elbow_link|torso_link
0.35,0,6,0.2302,-0.0406,0.2199,5e-05,0.2303,-0.0405,0.22,0.0001,0.0,0,0.0,0,0,
0.35,0,7,0.2251,-0.0653,0.2193,7e-05,0.2252,-0.0653,0.2193,0.0001,0.0,0,0.0,0,0,
0.35,0,8,0.2185,-0.0873,0.2184,9e-05,0.2186,-0.0873,0.2184,0.0001,0.0,0,0.0,0,0,
0.35,0,9,0.2111,-0.1062,0.2174,5e-05,0.2111,-0.1062,0.2174,0.0,0.0,0,0.0,0,0,
0.35,1,0,0.2198,0.1172,0.2054,5e-05,0.2184,0.1163,0.1901,0.0154,0.11363,1,0.0,1,226,right_elbow_link|torso_link
0.35,1,1,0.2291,0.0972,0.2057,6e-05,0.2272,0.0977,0.1946,0.0112,0.09532,1,0.0,1,208,right_elbow_link|torso_link
0.35,1,2,0.2376,0.0734,0.2061,6e-05,0.2357,0.0744,0.1977,0.0086,0.07268,1,0.0,1,162,right_elbow_link|torso_link
0.35,1,3,0.2442,0.0459,0.2063,7e-05,0.2441,0.0453,0.2014,0.0049,0.03649,1,0.0,1,138,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.35,1,4,0.2479,0.0156,0.2065,8e-05,0.2475,0.0162,0.2053,0.0014,0.01151,1,1e-05,1,108,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.35,1,5,0.2479,-0.0156,0.2065,0.0001,0.248,-0.0156,0.2065,0.0001,0.0,1,0.0,1,62,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.35,1,6,0.2442,-0.0459,0.2063,4e-05,0.2443,-0.0459,0.2063,0.0001,0.0,0,0.0,0,0,
0.35,1,7,0.2376,-0.0734,0.2061,5e-05,0.2376,-0.0734,0.2061,0.0001,0.0,0,0.0,0,0,
0.35,1,8,0.2291,-0.0972,0.2057,8e-05,0.2292,-0.0972,0.2058,0.0001,0.0,0,0.0,0,0,
0.35,1,9,0.2198,-0.1172,0.2054,4e-05,0.2198,-0.1172,0.2054,0.0001,0.0,0,0.0,0,0,
0.35,2,0,0.2291,0.1294,0.1907,5e-05,0.2293,0.1256,0.1715,0.0196,0.1313,1,0.0,1,266,right_elbow_link|torso_link
0.35,2,1,0.2406,0.1084,0.1899,5e-05,0.2398,0.1065,0.1757,0.0144,0.11276,1,0.0,1,252,right_elbow_link|torso_link
0.35,2,2,0.2514,0.0827,0.1893,6e-05,0.25,0.0824,0.1794,0.01,0.08854,1,0.0,1,224,right_elbow_link|torso_link
